100	1	10.5	1
125	1.05	10.5	1.1025
150	1.15	10.5	1.3225
175	1.3	10.5	1.69
200	1.4	10.5	1.96
225	1.5	10.5	2.25
250	1.55	10.5	2.4025
275	1.65	10.5	2.7225
300	1.75	10.5	3.0625

